CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
1,Mon,13,2022,0,0,36,863,0,19,8
1,Mon,13,2021,1,0,76,1787,0,55,16
1,Mon,13,2020,2,0,90,1667,0,59,20
1,Mon,13,2019,0,0,89,1998,0,65,12
1,Mon,13,2018,1,0,81,1924,0,76,14
1,Mon,14,2022,1,0,56,1055,0,30,10
1,Mon,14,2021,1,0,95,1944,0,60,19
1,Mon,14,2020,1,0,99,1857,0,46,11
1,Mon,14,2019,1,0,114,2208,0,85,21
1,Mon,14,2018,0,0,111,2377,0,78,24
1,Mon,15,2022,0,0,77,1429,0,33,13
1,Mon,15,2021,1,0,116,2539,0,79,33
1,Mon,15,2020,1,0,94,1932,0,75,22
1,Mon,15,2019,1,0,99,2899,0,82,18
1,Mon,15,2018,1,0,127,3058,0,87,28
1,Mon,16,2022,1,0,66,1358,0,53,7
1,Mon,16,2021,1,0,128,2422,0,87,24
1,Mon,16,2020,0,0,113,2057,0,66,21
1,Mon,16,2019,0,0,131,3062,0,99,22
1,Mon,16,2018,0,0,124,2965,0,76,26
1,Mon,17,2022,2,0,73,1246,0,38,15
1,Mon,17,2021,0,0,129,2109,0,72,18
1,Mon,17,2020,0,0,109,1865,0,63,16
1,Mon,17,2019,0,0,132,2871,0,107,34
1,Mon,17,2018,0,0,120,2620,0,79,34
1,Mon,18,2022,0,0,49,904,0,35,10
1,Mon,18,2021,1,0,93,1895,0,47,25
1,Mon,18,2020,0,0,105,1378,0,40,19
1,Mon,18,2019,1,0,124,2005,0,80,21
1,Mon,18,2018,2,0,102,2218,0,75,26
1,Mon,19,2022,2,0,36,623,0,24,8
1,Mon,19,2021,2,0,81,1266,0,39,12
1,Mon,19,2020,2,0,86,1008,0,31,20
1,Mon,19,2019,1,0,95,1318,0,40,17
1,Mon,19,2018,3,0,74,1401,0,35,17
1,Mon,20,2022,2,0,52,474,0,26,9
1,Mon,20,2021,0,0,77,953,0,19,8
1,Mon,20,2020,0,0,91,921,0,39,15
1,Mon,20,2019,1,0,66,958,0,34,11
1,Mon,20,2018,2,0,75,1118,0,32,9
1,Mon,21,2022,0,0,23,420,0,23,7
1,Mon,21,2021,2,0,65,864,0,24,21
1,Mon,21,2020,1,0,61,697,0,34,12
1,Mon,21,2019,0,0,44,810,0,30,10
1,Mon,21,2018,0,0,54,896,0,40,13
1,Mon,22,2022,1,0,36,352,0,22,5
1,Mon,22,2021,1,0,55,716,0,25,8
1,Mon,22,2020,3,0,54,571,0,21,12
1,Mon,22,2019,0,0,52,733,0,29,6
1,Mon,22,2018,1,0,69,833,0,27,7
1,Mon,23,2022,3,0,27,282,0,13,6
1,Mon,23,2021,0,0,48,480,0,14,11
1,Mon,23,2020,0,0,53,472,0,9,5
1,Mon,23,2019,0,0,32,438,0,22,7
1,Mon,23,2018,0,0,31,468,0,15,10
2,Tue,0,2022,0,0,15,213,0,10,3
2,Tue,0,2021,1,0,28,378,0,15,3
2,Tue,0,2020,0,0,41,317,0,13,4
2,Tue,0,2019,0,0,23,363,0,14,5
2,Tue,0,2018,0,0,27,307,0,17,5
2,Tue,1,2022,0,0,15,140,0,8,3
2,Tue,1,2021,1,0,22,227,0,4,8
2,Tue,1,2020,0,0,29,210,0,8,5
2,Tue,1,2019,1,0,19,238,0,6,7
2,Tue,1,2018,0,0,25,230,0,6,7
2,Tue,2,2022,0,0,5,103,0,11,2
2,Tue,2,2021,1,0,23,173,0,8,1
2,Tue,2,2020,0,0,32,145,0,3,4
2,Tue,2,2019,0,0,24,226,0,3,6
2,Tue,2,2018,0,0,23,167,0,6,6
2,Tue,3,2022,0,0,6,69,0,0,0
2,Tue,3,2021,1,0,9,148,0,4,7
2,Tue,3,2020,0,0,10,126,0,4,2
2,Tue,3,2019,1,0,16,204,0,4,1
2,Tue,3,2018,2,0,8,134,0,7,2
2,Tue,4,2022,0,0,8,97,0,3,2
2,Tue,4,2021,0,0,11,153,0,5,6
2,Tue,4,2020,1,0,12,112,0,5,3
2,Tue,4,2019,0,0,12,201,0,2,0
2,Tue,4,2018,0,0,11,154,0,5,1
2,Tue,5,2022,0,0,14,154,0,4,0
2,Tue,5,2021,0,0,18,254,0,7,4
2,Tue,5,2020,0,0,17,246,0,6,3
2,Tue,5,2019,0,0,60,382,0,7,10
2,Tue,5,2018,0,0,21,359,0,15,6
2,Tue,6,2022,0,0,19,346,0,10,5
2,Tue,6,2021,0,0,21,495,0,19,8
2,Tue,6,2020,0,0,30,446,0,12,11
2,Tue,6,2019,0,0,78,855,0,29,10
2,Tue,6,2018,0,0,45,900,0,28,10
2,Tue,7,2022,0,0,33,926,0,33,8
2,Tue,7,2021,0,0,54,1287,0,36,8
